"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","374","test_the_all_required_fields","Sprint_7.сourier_login","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:28 SAMT 2025","","test_all required fields","",""
"Тест успешной регистрации нового пользователя","1878","test_valid_registration","Sprint_5.tests","Thu Aug 14 15:24:31 SAMT 2025","broken","Thu Aug 14 15:24:33 SAMT 2025","TestRegistration","test_registration","",""
"","1209","test_faq_questions[heading_locator3-panel_locator3-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f. \u041d\u043e \u0441\u043a\u043e\u0440\u043e \u0441\u0442\u0430\u043d\u0435\u043c \u0440\u0430\u0441\u0442\u043e\u0440\u043e\u043f\u043d\u0435\u0435.]","Sprint_6.tests","Thu Aug 14 15:25:14 SAMT 2025","passed","Thu Aug 14 15:25:15 SAMT 2025","","test_faq","",""
"","5589","test_logo_yandex","Sprint_6.tests","Thu Aug 14 15:26:03 SAMT 2025","passed","Thu Aug 14 15:26:08 SAMT 2025","","test_order_page","",""
"","183","test_a_successful_request_returns_valid_data","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:26 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_a_successful_request_returns_valid_data","",""
"","1303","test_faq_questions[heading_locator0-panel_locator0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","Sprint_6.tests","Thu Aug 14 15:25:00 SAMT 2025","passed","Thu Aug 14 15:25:02 SAMT 2025","","test_faq","",""
"Тест регистрации с невалидным email","1338","test_invalid_email_registration","Sprint_5.tests","Thu Aug 14 15:24:51 SAMT 2025","passed","Thu Aug 14 15:24:52 SAMT 2025","TestRegistration","test_registration","",""
"","1151","test_logo_scooter","Sprint_6.tests","Thu Aug 14 15:25:58 SAMT 2025","passed","Thu Aug 14 15:26:00 SAMT 2025","","test_order_page","",""
"","1313","test_faq_questions[heading_locator5-panel_locator5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]","Sprint_6.tests","Thu Aug 14 15:25:23 SAMT 2025","passed","Thu Aug 14 15:25:24 SAMT 2025","","test_faq","",""
"","1212","test_faq_questions[heading_locator2-panel_locator2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]","Sprint_6.tests","Thu Aug 14 15:25:10 SAMT 2025","passed","Thu Aug 14 15:25:11 SAMT 2025","","test_faq","",""
"","143","test_register_new_courier_and_return_login_password","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_correct_response_code","",""
"","1170","test_faq_questions[heading_locator4-panel_locator4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]","Sprint_6.tests","Thu Aug 14 15:25:19 SAMT 2025","passed","Thu Aug 14 15:25:20 SAMT 2025","","test_faq","",""
"","2129","test_order_form_2[data1]","Sprint_6.tests","Thu Aug 14 15:25:53 SAMT 2025","passed","Thu Aug 14 15:25:55 SAMT 2025","","test_order_page","",""
"","111","test_you_cannot_create_two_identical_couriers","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_you_cannot_create_two_identical_couriers","",""
"","1298","test_faq_questions[heading_locator7-panel_locator7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]","Sprint_6.tests","Thu Aug 14 15:25:32 SAMT 2025","passed","Thu Aug 14 15:25:34 SAMT 2025","","test_faq","",""
"Тест попытки создания объявления неавторизованным пользователем","849","test_create_ad_unauthorized_user","Sprint_5.tests","Thu Aug 14 15:24:15 SAMT 2025","passed","Thu Aug 14 15:24:16 SAMT 2025","TestAdCreation","test_creating_a_new_ad","",""
"","2056","test_order_form_2[data0]","Sprint_6.tests","Thu Aug 14 15:25:48 SAMT 2025","passed","Thu Aug 14 15:25:50 SAMT 2025","","test_order_page","",""
"","248","test_the_courier_can_log_in","Sprint_7.сourier_login","Thu Aug 14 15:28:28 SAMT 2025","passed","Thu Aug 14 15:28:28 SAMT 2025","","test_the_courier_can_log_in","",""
"","114","test_all_required_fields_no_pass","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_all_required_fields","",""
